유형,표제어,뜻풀이,예문,비고
맞춤법,- 최댓값 (O) 최대값 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 횟수 (O) 회수 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 막냇동생 (O) 막내동생(X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 등굣길 (O) 등교길 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 배춧잎 (O) 배추잎 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 만둣국 (O) 만두국 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 부챗살 (O) 부채살 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 횟집 (O) 회집 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 들깻가루 (O) 들깨가루 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
순화어,[KBS 한국어능력시험] 어휘(순화어) 요약 정,리,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 가두,= 길거리,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 가료,= 치료,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 가불,= 임시 지급,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 간선 도로,"= 주요 도로, 중심 도로",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 갈라 쇼,= 뒤풀이 공연,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 고로케,= 크로켓,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 고수부지,= 둔치,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 곤조,= 근성,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 그랑프리,= 최우수상,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 납득,= 이해,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 내비게이션,"= 길도우미, 길안내기",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 네티즌,= 누리꾼,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 노견,"= 길가, 갓길",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 뉘앙스,"= 어감, 느낌",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 다대기,= 다진 양념,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 다이어트,= 식이요법,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 답신,= 대답,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 더치페이,= 각자 내기,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 데생,= 소묘,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 도비라,= 속표지,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 도통,= 도무지,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 라운지,= 휴게실,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 랜드마크,= 마루지,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 러브 샷,= 사랑 건배,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 레시피,= 조리법,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 레퍼토리,= 노래 곡목,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 로고송,= 상징노래,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 로드맵,= 이행안,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 로케,= 현지 촬영,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 로하스,= 친환경살이,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 론칭쇼,= 신제품 발표회,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 롤 모델,= 본보기상,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 르포,= 현장 보고,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 리메이크,= 재구성,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 리클라이너,= 각도 조절 푹신 의자,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 리퍼브,= 손질상품,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 리플,= 댓글,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 마네킹,= 광고 인형,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 마스터 플랜,"= 종합 계획, 기본 계획",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 마일리지,= 이용실적점수,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 만전을 기하다,= 빈틈없이 하다,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 망년회,= 송년회,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 맞트레이드,= 맞교환,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 매점,= 사재기,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 머니 론더링,= 돈세탁,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 멀티탭,= 모둠꽂이,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 멘토,= 인생 길잡이,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 모포,= 담요,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 몸빼,"= 왜 바지, 일바지",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 무데뽀,"= 막무가내, 무모",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 무빙워크,= 자동길,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 바우처 제도,= 복지상품권 제도,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 바코드,= 정보 줄무늬,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 박스 오피스,= 흥행 수익,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 발레 파킹,= 대리주차,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 방화,= 국산 영화,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 버킷 리스트,= 소망 목록,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 베테랑,= 전문가,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 벤치마킹,= 본따르기,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 벤치클리어링,"= 몸싸움, 집단 몸싸움",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 별첨,= 따로 붙임,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 보이스피싱,= 사기전화,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 브랜드 파워,= 상표경쟁력,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- VOD 서비스,= 다시 보기,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 뷰파인더,= 보기창,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 빈사,= 반죽음,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 사보타주,= 태업,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 상오,= 오전,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 서안,= 책상,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 샘플,"= 본보기, 표본",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 성수기,= 한철,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 센티하다,= 감상적이다,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 소보로빵,= 곰보빵,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 소셜 네트워크 서비스,= 누리소통망,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 소셜 커머스,= 공동 할인구매,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 수피,= 나무껍질,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 스크린 도어,= 안전문,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 시방,= 지금,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 시건장치,= 잠금장치,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 시말서,= 경위서,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 신드롬,= 증후군,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 스타일리스트,= 맵시가꿈이,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 양식,= 서식,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 언론 플레이,= 여론몰이,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 웰에이징,= 건강 노년맞이,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 웹서핑,= 누리 검색,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 유도리,"= 융통성, 여유",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 익월,= 다음 달,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 익일,"= 다음날, 이튿날",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 인저리 타임,= 추가시간,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 인터체인지,= 나들목,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 잔반,"= 남은 밥, 음식 찌꺼기",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 장르,"= 갈래, 분야",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 전횡,= 독선적 행위,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 좌지우지하는,= 마음대로 하는,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 지라시,= 낱장 광고,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 차장,= 승무원,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 착수하다,= 시작하다,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 참작,= 헤아림,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 체차로,= 차례로,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 칠부바지,= 칠푼 바지,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 콤플렉스,"= 열등감, 강박 관념",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 콩쿠르,= 경연대회,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 쿠사리,"= 면박, 핀잔",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 크레인,= 기중기,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 타입,"= 모양, 유형",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 팁,"= 도움말, 봉사료",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 특이한,= 독특한,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 패키지 상품,= 꾸러미상품,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 플랫 슈즈,= 납작구두,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 피사체,= 찍히는 것,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 하명,"= 명령, 지시",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 하시라도,"= 언제라도, 언제든지",,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 할증료,= 웃돈,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 홀대,= 푸대접,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
순화어,- 흑태,= 검정콩,,auto from KBS 한국어능력시험 어휘(순화어) 요약 정리.docx
관용구,[KBS 한국어능력시험] 어휘(관용구) 요약 정,리,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 가슴을 찢다,슬픔이나 분함 때문에 가슴이 째지는 듯한 고통을 주다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 간도 쓸개도 없다,용기나 줏대 없이 남에게 굽히다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 경종을 울리다,잘못이나 위험을 미리 경계하여 주의를 환기시키다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 귀에 못이 박히다,같은 말을 여러 번 듣다. = 귀에 딱지가 앉다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 깨가 쏟아지다,몹시 아기자기하고 재미가 나다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 나발을 불다,당치 않은 말을 함부로 하다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 눈먼 돈,"임자 없는 돈, 우연히 생긴 공돈.",,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 눈에 밟히다,잊히지 않고 눈에 자꾸 떠오르다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 눈에 아른거리다,어떤 사람이나 일 따위에 관한 기억이 떠오르다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 닭 물 먹듯,무슨 일이든 그 내용도 모르고 건성으로 넘기는 모양.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 된서리를 맞다,모진 재앙이나 억압을 당하다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 발꿈치를 물리다,은혜를 베풀어 준 상대로부터 뜻밖에 해를 입다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 발목을 잡다,어떤 일에 꽉 잡혀서 벗어나지 못하게 하다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 발이 길다,음식 먹는 자리에 우연히 가게 되어 먹을 복이 있다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 베개를 높이 베다,안심하고 편안하게 푹 자거나 태평스럽게 지내다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 변죽을 울리다,바로 집어 말을 하지 않고 둘러서 말을 하다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 상투를 잡다,"가장 높은 시세에 주식을 매입하다,",,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 생사람을 잡다,아무 잘못이나 관계가 없는 사람을 헐뜯거나 죄인으로 몰다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 서릿발을 맞다,권력 따위에 의하여 피해를 입다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 서릿밧을 이다,머리카락이 하얗게 세다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 서릿발이 서다,땅거죽에 가늘고 긴 얼음 줄기의 묶음이 생기다 / 서릿발처럼 준엄하고 매서운 기운이 있다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 서릿발이 차다,서릿발이 생기다 / 기세가 매우 매섭고 준엄하다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 손사래를 치다,거절이나 부인을 하며 손을 펴서 마구 휘젓다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 지휘봉을 잡다,어떤 무리나 조직의 우두머리가 되다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 초로와 같다,인생 따위가 덧없다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 침 발라 놓다,자기 소유임을 표시하다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 침이 마르다,다른 사람이나 물건에 대하여 거듭해 말하다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 토를 달다,어떤 말 끝에 그 말에 대하여 덧붙여 말하다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 피가 마르다,몹시 괴롭거나 애가 타다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
관용구,- 피를 토하다,격렬한 의분을 터뜨리다.,,auto from KBS 한국어능력시험 어휘(관용구) 요약 정리.docx
사자성어,[KBS 한국어능력시험] 어휘(사자성어) 요약 정,리,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 가렴주구,"세금을 가혹하게 거두어들이고, 무리하게 재물을 빼앗음.",,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 각주구검,융통성 없이 현실에 맞지 않는 낡은 생각을 고집하는 어리석음.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 감언이설,귀가 솔깃하도록 남의 비위를 맞추거나 이로운 조건을 내세워 꾀는 말.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 감탄고토,자신의 비위에 따라서 사리의 옳고 그름을 판단함. = 달면 삼키고 쓰면 뱉는다.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 거안사위,평안할 때에도 위험과 곤란이 닥칠 것을 생각하며 잊지 말고 미리 대비해야 함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 건곤일척,운명을 걸고 단판걸이로 승부를 겨룸.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 격세지감,오래지 않은 동안에 몰라보게 변함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 견강부회,이치에 맞지 않는 말을 억지로 끌어붙여 자기에게 유리하게 함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 견마지심,신하나 백성이 임금이나 나라에 충성하는 마음을 낮추어 이르는 말.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 견문발검,모기를 보고 칼을 뺀다는 뜻. 사소한 일에 크게 성내어 덤빔.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 견물생심,어떠한 실물을 보면 그것을 가지고 싶은 욕심이 생김.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 결자해지,맺은 사람이 풀어야 한다는 뜻. 자기가 저지른 일은 자기가 해결하여야 함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 결초보은,죽은 뒤에라도 은혜를 잊지 않고 갚음.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 고식지계,우선 당장 편한 것만을 택하는 꾀나 방법. = 언 발에 오줌 누기,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 고장난명,외손뼉만으로는 소리가 울리지 아니한다는 뜻. = 손뼉도 마주 쳐야 소리가 난다.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 교각살우,잘못된 점을 고치려다가 그 방법이나 정도가 지나쳐 오히려 일을 그르침. = 빈대 잡으려다 초가삼간 태운다.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 권토중래,한 번 실패하였으나 힘을 회복하여 다시 쳐들어옴.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 금란지계,친구 사이의 매우 두터운 정. = 금란지의,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 난공불락,공격하기가 어려워 쉽사리 함락되지 아니함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 난형난제,두 사물이 비슷하여 낫고 못함을 정하기 어려움.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 낭중지추,주머니 속의 송곳. 재능이 뛰어난 사람은 숨어 있어도 저절로 사람들에게 알려짐. = 주머니에 들어간 송곳이라.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 노승발검,사소한 일에 화를 내거나 또는 작은 일에 어울리지 않게 커다란 대책을 세움을 비유적으로 이르는 말.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 누란지세,"층층이 쌓아 놓은 알의 형세. 몹시 위태로운 형세를 비유적으로 이르는 말. = 누란지위, 풍전등화",,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 다기망양,두루 섭렵하기만 하고 전공하는 바가 없어 끝내 성취하지 못함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 단기지계,학문을 중도에 그만두면 짜던 베의 날을 끊는 것처럼 아무 쓸모없음을 경계한 말.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 당랑거철,"제 역량을 생각하지 않고, 강한 상대나 되지 않을 일에 덤벼드는 무모한 행동거지를 비유적으로 이르는 말. = 하룻강아지 범 무서운 줄 모른다.",,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 등고자비,높은 곳에 오르려면 낮은 곳에서부터 오른다는 뜻. 일을 순서대로 하여야 함을 이르는 말.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 마이동풍,남의 말을 귀담아듣지 아니하고 지나쳐 흘려버림.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 만시지탄,시기에 늦어 기회를 놓쳤음을 안타까워하는 탄식.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 망년지교,나이에 거리끼지 않고 허물없이 사귄 벗.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 망양보뢰,이미 어떤 일을 실패한 뒤에 뉘우쳐도 아무 소용이 없음. = 소 잃고 외양간 고친다.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 망양지탄,어떤 일에 자기 자신의 힘이 미치지 못할 때에 하는 탄식.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 면종복배,겉으로는 복종하는 체하면서 내심으로는 배반함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 명약관화,의심할 여지 없이 매우 분명함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 명재경각,거의 죽게 되어 곧 숨이 끊어질 지경에 이름.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 문경지교,생사를 같이할 수 있는 아주 가까운 사이 또는 그런 친구.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 박리다매,이익을 적게 보고 많이 파는 것,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 방약무인,곁에 사람이 없는 것처럼 아무 거리낌 없이 함부로 말하고 행동하는 태도가 있음.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 백가쟁명,"많은 학자나 문화인 등이 자기의 학설이나 주장을 자유롭게 발표하여, 논쟁하고 토론하는 일",,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 부화뇌동,줏대 없이 남의 의견에 따라 움직임. = 숭어가 뛰니까 망둥이도 뛴다.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 불문곡직,옳고 그름을 따지지 아니함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 불치하문,손아랫사람이나 지위나 학식이 자기만 못한 사람에게 모르는 것을 묻는 일을 부끄러워하지 아니함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 사면초가,"아무에게도 도움을 받지 못하는, 외롭고 곤란한 지경에 빠진 형편. = 아랫길도 못 가고 윗길도 못 가겠다.",,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 사필귀정,모든 일은 반드시 바른 길로 돌아감.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 수불석권,손에서 책을 놓지 않고 늘 글을 읽음.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 수어지교,물이 없으면 살 수 없는 물고기와 물의 관계. 아주 친밀하여 떨어질 수 없는 사이를 비유적으로 이르는 말.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 수주대토,한 가지 일에만 얽매여 발전을 모르는 어리석은 사람을 비유적으로 이르는 말.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 실사구시,사실에 토대를 두어 진리를 탐구하는 일.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 십시일반,여럿이 한 사람 도와주기는 쉽다는 말.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 아전인수,자기에게만 이롭게 되도록 생각하거나 행동함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 안하무인,방자하고 교만하여 다른 사람을 업신여김.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 어로불변,"아주 무식함을 비유적으로 이르는 말. = 목불식정, 가갸 뒷다리도 모른다.",,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 어불성설,말이 조금도 사리에 맞지 아니함.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
사자성어,- 연하고질,자연의 아름다운 경치를 몹시 사랑하고 즐기는 성벽. = 천석고황.,,auto from KBS 한국어능력시험 어휘(사자성어) 요약 정리.docx
